price_change_pct,predicted_ratio
-0.15,1.0754692489436
-0.13999999999999999,1.0754692489436
-0.13,1.0754692489436
-0.12,1.0754692489436
-0.11,1.0754692489436
-0.1,1.0754692489436
-0.09,1.0728166257322898
-0.08,1.0653342997096835
-0.07,1.0511964286121382
-0.06000000000000001,1.0520895261805854
-0.05000000000000002,1.024153103201461
-0.04000000000000001,1.0653606153678057
-0.030000000000000013,1.032152167952549
-0.020000000000000018,1.0355590714784069
-0.010000000000000009,1.045395635804079
-2.7755575615628914e-17,1.0139075308778585
0.009999999999999981,0.984233618182204
0.01999999999999999,0.9710867646798782
0.02999999999999997,1.0003944628999633
0.03999999999999998,0.9804927932949242
0.04999999999999996,0.9720683813712543
0.05999999999999997,0.9716670058874228
0.06999999999999998,0.9919351989102675
0.07999999999999996,0.9496380562160901
0.08999999999999997,0.9153682063132365
0.09999999999999998,0.9100174666990363
0.10999999999999996,0.909495443644759
0.11999999999999997,0.909495443644759
0.12999999999999998,0.909495443644759
0.13999999999999999,0.909495443644759
0.14999999999999994,0.909495443644759
0.15999999999999995,0.909495443644759
0.16999999999999996,0.909495443644759
0.17999999999999997,0.909495443644759
0.18999999999999997,0.909495443644759
0.19999999999999993,0.909495443644759
0.20999999999999994,0.909495443644759
0.21999999999999995,0.909495443644759
0.22999999999999995,0.909495443644759
0.23999999999999996,0.909495443644759
0.24999999999999992,0.909495443644759
0.2599999999999999,0.909495443644759
0.2699999999999999,0.909495443644759
0.2799999999999999,0.909495443644759
0.2899999999999999,0.909495443644759
0.3,0.909495443644759
