price_change_pct,predicted_ratio
-0.15,1.258819581011578
-0.13999999999999999,1.258819581011578
-0.13,1.258819581011578
-0.12,1.258819581011578
-0.11,1.258819581011578
-0.1,1.258819581011578
-0.09,1.258617802645868
-0.08,1.2297100101905514
-0.07,1.147887077662346
-0.06000000000000001,1.1410554103308137
-0.05000000000000002,1.1205248543942639
-0.04000000000000001,1.073802256146336
-0.030000000000000013,1.0621181754350428
-0.020000000000000018,1.053395301014322
-0.010000000000000009,1.0635631847090223
-2.7755575615628914e-17,1.0243188577778815
0.009999999999999981,0.9933699249903727
0.01999999999999999,0.9636198346818705
0.02999999999999997,0.9504293227137295
0.03999999999999998,0.8976892688495174
0.04999999999999996,0.8904856459799056
0.05999999999999997,0.8535787192806419
0.06999999999999998,0.8382078708343037
0.07999999999999996,0.7672288219033725
0.08999999999999997,0.7575883552252409
0.09999999999999998,0.7511337164419971
0.10999999999999996,0.7504440990825745
0.11999999999999997,0.7504440990825745
0.12999999999999998,0.7504440990825745
0.13999999999999999,0.7504440990825745
0.14999999999999994,0.7504440990825745
0.15999999999999995,0.7504440990825745
0.16999999999999996,0.7504440990825745
0.17999999999999997,0.7504440990825745
0.18999999999999997,0.7504440990825745
0.19999999999999993,0.7504440990825745
0.20999999999999994,0.7504440990825745
0.21999999999999995,0.7504440990825745
0.22999999999999995,0.7504440990825745
0.23999999999999996,0.7504440990825745
0.24999999999999992,0.7504440990825745
0.2599999999999999,0.7504440990825745
0.2699999999999999,0.7504440990825745
0.2799999999999999,0.7504440990825745
0.2899999999999999,0.7504440990825745
0.3,0.7504440990825745
